sector,stage,country,funding,team_size,team_experience,market_size_bn,burn_rate,revenue_growth,customer_count,nps_score,patent_count,competition_level,business_model_score,months_since_founding,runway_months,success
E-Commerce,Seed,India,893445,57,3,122.01,685815,3.991,5909,67,9,4,6,26,15,0
AI/ML,Series C,Singapore,90287646,77,12,438.75,231099,0.732,31854,-15,28,6,8,28,2,1
HealthTech,Seed,UK,2480425,69,1,371.58,736808,4.028,3896,37,13,7,4,42,28,0
Cybersecurity,Pre-Seed,Germany,151489,138,12,449.98,433190,4.69,40834,47,5,2,8,34,20,1
SaaS,Series B,Australia,46505059,107,3,409.29,37371,1.546,42141,34,19,6,3,95,16,0
AI/ML,Pre-Seed,UK,263493,126,5,495.19,108746,2.555,17111,46,21,8,2,80,4,0
EdTech,Series A,UK,10694420,93,7,96.49,635536,3.223,7039,28,25,6,6,39,8,1
SaaS,Series C,France,65269936,24,4,43.83,698526,0.213,44844,30,6,2,5,88,20,0
CleanTech,Series B,USA,31399173,110,13,168.83,297871,2.369,24099,38,5,4,8,100,26,1
Gaming,Series A,Israel,5941616,62,13,64.94,648288,1.675,3670,-15,26,1,1,93,32,1
EdTech,Seed,Singapore,2974370,45,11,261.8,73969,4.337,43335,69,16,7,3,94,13,1
EdTech,Pre-Seed,France,411417,17,11,316.7,431584,4.359,15029,30,20,8,7,88,5,1
AI/ML,Series A,USA,10105924,23,1,289.36,602819,3.444,31811,17,23,2,4,62,13,0
HealthTech,Series B,Israel,33856153,58,6,129.99,573385,3.21,15793,-10,7,5,5,59,11,0
AI/ML,Seed,Singapore,2742516,63,2,454.46,176056,3.615,41318,31,11,8,8,109,32,0
CleanTech,Pre-Seed,Germany,53052,108,12,11.08,585147,1.703,48106,72,25,8,1,60,18,0
BioTech,Pre-Seed,Israel,356521,72,3,174.33,206300,1.904,20126,-1,24,5,1,69,29,0
BioTech,Pre-Seed,Australia,248910,91,4,359.64,495315,2.679,19228,-11,3,8,7,24,15,0
HealthTech,Series A,UK,13815723,73,6,383.58,687510,4.678,18595,5,9,6,9,60,20,1
CleanTech,Seed,USA,2448697,71,6,208.35,241944,3.565,972,27,5,5,4,114,5,0
HealthTech,Series B,USA,28608519,31,7,8.95,66790,2.665,360,70,6,4,8,87,33,1
FinTech,Series A,USA,4079037,104,5,309.21,71779,3.806,2632,-7,20,5,7,82,18,1
BioTech,Pre-Seed,Singapore,332894,33,7,32.02,116371,1.729,35958,79,26,4,2,75,19,0
EdTech,Seed,Australia,1515930,87,2,54.37,308816,3.598,37716,38,7,1,5,79,32,0
Cybersecurity,Seed,Israel,1355695,58,1,325.3,341253,1.936,15346,-9,2,3,9,76,22,1
Gaming,Seed,UK,612036,110,12,156.59,44593,1.254,48322,2,7,8,9,51,1,1
CleanTech,Series A,Australia,13773427,10,10,174.34,417002,2.971,18008,64,14,7,3,87,25,0
SaaS,Series A,France,6831854,32,8,243.66,497252,3.372,12120,51,29,7,3,51,20,1
HealthTech,Series A,Germany,3889694,72,1,489.3,696783,2.188,30283,18,20,3,2,44,35,1
Gaming,Pre-Seed,India,116060,138,12,482.74,502696,2.741,7818,-12,0,9,7,42,6,1
SaaS,Pre-Seed,Australia,321223,14,2,208.42,202136,3.409,5119,67,12,6,6,73,6,0
Gaming,Series A,France,14149519,132,11,133.12,227872,3.792,30579,74,21,8,5,48,3,0
Cybersecurity,Pre-Seed,UK,372870,36,12,151.64,357284,4.457,45721,4,17,8,7,24,31,1
SaaS,Seed,India,1409121,22,10,134.76,693195,1.644,47668,-4,14,3,4,84,35,1
AI/ML,Pre-Seed,India,93162,65,6,266.36,345500,4.748,29837,21,6,4,5,23,15,0
E-Commerce,Series A,Australia,7066981,96,1,303.63,583570,3.114,975,8,14,6,9,53,17,1
AI/ML,Pre-Seed,USA,323497,35,10,244.65,662739,3.896,16265,39,24,2,9,116,15,1
BioTech,Series A,Canada,13598073,122,3,204.29,718074,3.439,4318,46,2,7,4,16,5,1
E-Commerce,Series C,UK,94068669,16,7,106.04,732395,0.869,35081,64,29,2,6,76,22,0
AI/ML,Pre-Seed,USA,205642,121,12,241.51,33814,0.171,49939,36,25,5,2,99,11,0
E-Commerce,Pre-Seed,UK,136373,97,8,170.88,165161,3.577,41515,51,13,4,3,11,28,0
E-Commerce,Seed,Canada,1193464,7,4,271.03,459047,2.457,43069,-7,19,9,9,20,14,1
EdTech,Series B,Germany,24107338,110,12,337.76,91673,3.452,47816,18,3,2,6,15,3,1
HealthTech,Pre-Seed,Canada,54551,98,3,316.84,586228,2.28,13134,-5,3,7,8,19,11,0
HealthTech,Seed,Brazil,568359,33,1,231.51,96796,1.424,39432,-3,2,7,5,89,30,0
EdTech,Pre-Seed,Australia,498096,84,12,278.25,46476,1.282,46150,74,4,7,2,27,5,0
Gaming,Series A,Australia,7668223,119,9,142.79,667129,3.599,10841,54,24,1,7,56,22,1
FinTech,Seed,France,1858356,80,10,12.61,314422,1.239,26135,-1,10,8,6,18,13,0
Gaming,Series A,USA,4515719,79,6,312.7,188066,3.516,12427,25,7,2,2,26,21,0
SaaS,Series B,France,35918642,148,6,126.66,770395,1.797,40251,24,25,5,6,97,25,0
SaaS,Pre-Seed,Brazil,341829,108,9,334.64,136259,3.809,34131,-17,1,2,8,77,21,1
E-Commerce,Series A,Canada,3837566,127,1,373.63,414181,0.543,36727,63,27,5,1,25,28,0
AI/ML,Pre-Seed,Australia,401060,16,6,458.01,370823,0.866,25165,74,15,7,4,43,4,0
AI/ML,Series B,Singapore,23483063,135,12,479.08,189357,3.367,1749,-1,24,6,1,105,29,1
HealthTech,Series A,Canada,11123155,74,5,5.76,196571,2.713,33308,-10,27,5,2,88,35,0
CleanTech,Series B,Canada,17336798,102,13,495.19,553708,0.86,7634,44,9,4,1,35,23,1
Gaming,Pre-Seed,Brazil,239937,99,11,341.67,166308,4.495,10614,-3,17,8,6,107,7,1
BioTech,Pre-Seed,Germany,361900,27,6,321.94,134283,1.235,24866,18,6,8,6,44,9,0
Cybersecurity,Seed,UK,2982159,93,14,8.1,453108,1.99,10282,23,4,1,1,50,23,0
AI/ML,Seed,Brazil,2658344,126,11,430.69,739391,0.852,20319,76,28,2,4,119,3,1
Cybersecurity,Pre-Seed,UK,241758,74,8,73.17,240461,1.818,36726,79,6,3,4,20,9,0
E-Commerce,Seed,Australia,1335165,124,5,418.75,598345,2.357,15412,-3,20,1,8,65,4,1
Cybersecurity,Pre-Seed,Brazil,285161,54,2,8.27,742267,1.335,36627,26,27,3,6,80,25,0
BioTech,Seed,UK,1312425,79,12,323.16,224202,3.799,8050,10,5,8,2,94,6,1
EdTech,Series A,France,4734428,93,12,217.68,152298,1.848,24583,78,23,4,5,13,18,1
BioTech,Seed,Brazil,786287,89,2,100.78,657396,3.593,18041,18,0,7,4,26,7,0
Cybersecurity,Pre-Seed,Australia,241349,14,10,54.23,256027,0.877,6185,17,28,7,4,63,35,0
BioTech,Seed,Brazil,2053749,44,5,220.34,47117,1.761,20812,58,10,5,8,66,31,1
FinTech,Pre-Seed,Australia,231062,77,3,62.09,139980,-0.158,25832,26,12,1,5,38,32,0
E-Commerce,Series C,Brazil,158656022,52,10,243.48,219944,3.745,17423,49,11,4,3,85,35,1
Gaming,Pre-Seed,UK,119351,20,3,312.8,198349,3.055,47156,-13,0,7,4,79,28,0
EdTech,Series A,Germany,11045391,123,8,413.78,750739,4.053,41644,65,20,5,1,99,5,1
AI/ML,Series C,Israel,159285989,25,7,339.49,462829,2.169,36786,44,14,2,6,55,30,1
SaaS,Series A,UK,12146779,27,1,33.07,551661,3.959,29665,-8,0,8,4,85,22,0
Gaming,Series A,USA,3498095,121,12,154.06,55452,3.167,9989,34,2,2,6,49,17,1
SaaS,Series A,India,13556069,83,13,144.35,191161,-0.181,18208,67,25,8,2,54,10,0
E-Commerce,Series C,Germany,115941662,101,12,457.56,16654,1.119,23054,64,14,2,5,98,7,1
EdTech,Seed,France,1186093,18,5,433.96,197213,2.368,30477,22,8,5,9,81,4,1
HealthTech,Seed,Canada,1667732,69,9,185.39,133319,3.017,30374,-17,13,4,8,59,27,1
AI/ML,Seed,UK,2935296,45,4,36.04,229015,0.141,41220,50,28,1,3,77,7,0
FinTech,Seed,Brazil,1990424,62,1,447.11,471110,3.466,3571,39,22,8,1,25,23,0
HealthTech,Seed,UK,521576,124,8,444.15,783393,2.626,19576,-9,27,3,3,61,11,1
E-Commerce,Seed,Singapore,1535865,94,5,427.45,628530,2.534,9680,38,21,4,8,71,8,1
Gaming,Pre-Seed,Germany,330092,75,2,422.62,588256,1.319,25706,56,23,4,3,58,8,1
FinTech,Pre-Seed,Israel,166528,68,12,240.39,669103,2.893,14318,33,7,5,5,88,5,1
BioTech,Pre-Seed,France,219898,112,1,89.13,410375,-0.057,20659,23,21,3,2,44,7,0
Cybersecurity,Pre-Seed,Singapore,139051,3,14,239.01,173223,0.136,49506,-5,3,9,1,20,22,0
FinTech,Pre-Seed,Australia,340011,90,12,247.55,141590,3.616,5029,-15,19,4,5,73,2,1
E-Commerce,Seed,Singapore,2532342,27,12,245.22,288796,1.474,48436,-7,19,4,5,35,24,1
CleanTech,Pre-Seed,UK,272428,100,12,269.62,481677,1.604,2774,37,5,6,6,5,2,1
Cybersecurity,Series A,France,13689065,28,3,129.2,647402,0.884,16972,10,0,8,2,30,12,0
SaaS,Pre-Seed,UK,356822,90,9,183.44,255615,2.117,14048,79,27,7,9,3,26,1
AI/ML,Pre-Seed,Australia,419705,147,1,217.38,785492,0.07,33372,20,17,4,2,65,6,0
SaaS,Series A,Canada,6945123,2,4,66.0,374633,1.362,43188,14,5,4,2,115,23,0
FinTech,Seed,France,1073722,104,8,227.95,244537,2.541,41133,-11,29,5,5,49,2,0
SaaS,Pre-Seed,Canada,116617,132,8,405.33,183420,2.221,14689,60,13,5,9,39,26,1
E-Commerce,Series B,Germany,35860717,42,10,414.12,740782,4.998,16737,9,10,1,4,88,14,1
BioTech,Series B,Germany,33557464,52,12,206.08,87001,1.822,16014,23,16,8,6,50,18,1
Gaming,Seed,Canada,2432360,16,11,259.64,521769,1.812,21818,34,8,5,2,110,32,0
AI/ML,Seed,Germany,1366164,9,13,17.31,86757,2.419,33201,50,27,3,4,21,14,0
SaaS,Series C,France,158373120,39,11,337.38,558683,0.79,11144,-3,21,3,9,16,30,1
SaaS,Seed,Brazil,1630070,115,8,202.6,143407,4.357,31001,62,6,4,2,69,13,1
FinTech,Seed,USA,2292841,84,10,223.02,636266,2.776,867,58,13,7,1,85,31,0
Gaming,Series A,Germany,7795817,57,8,436.9,473328,0.799,27182,65,27,5,4,99,22,0
HealthTech,Pre-Seed,Germany,132867,104,4,231.19,254348,3.926,14340,18,16,1,4,87,28,1
SaaS,Seed,UK,2765752,139,8,11.09,665860,-0.021,11837,21,7,5,1,67,19,0
E-Commerce,Pre-Seed,Canada,305669,103,9,114.13,658829,4.909,47059,33,27,5,4,28,16,1
CleanTech,Series A,India,4913980,79,7,238.07,233283,4.299,8787,9,15,6,3,12,5,1
AI/ML,Seed,Israel,2007394,84,14,212.49,378742,2.814,393,-1,11,7,2,101,2,0
SaaS,Series A,Singapore,5979845,31,12,430.25,222328,0.379,12056,75,11,5,4,79,10,1
E-Commerce,Pre-Seed,Germany,140748,6,2,271.3,408759,0.919,43160,21,27,2,8,72,19,0
E-Commerce,Pre-Seed,Singapore,304265,120,9,344.97,717597,1.253,44957,68,27,2,7,45,20,1
AI/ML,Seed,France,1019493,32,11,234.93,368315,1.053,28429,66,4,4,9,72,29,1
HealthTech,Series A,India,3910913,24,8,220.11,654711,2.387,45909,-16,4,1,8,101,25,1
E-Commerce,Seed,Israel,2557017,49,13,223.42,755076,4.712,31899,29,13,7,1,82,17,1
CleanTech,Pre-Seed,Canada,179529,110,5,205.76,540901,2.11,32221,20,5,1,2,107,13,0
E-Commerce,Series B,USA,32773649,41,12,269.52,207935,3.24,20754,73,6,3,2,74,16,1
E-Commerce,Pre-Seed,Israel,314395,7,3,125.6,532349,3.381,44389,18,22,7,8,61,35,1
E-Commerce,Series C,Israel,105005719,39,7,445.58,95666,4.332,20905,36,20,6,4,5,3,1
BioTech,Pre-Seed,USA,59583,101,14,166.88,556356,-0.024,24083,70,16,7,9,7,9,1
BioTech,Series A,Brazil,10138512,28,14,74.19,685907,1.903,41098,36,26,5,2,87,29,0
HealthTech,Pre-Seed,Canada,499274,70,2,48.73,619525,3.881,29621,16,8,8,4,97,5,0
SaaS,Series B,UK,35813696,58,13,7.2,277913,4.037,20577,-14,21,6,1,80,3,1
E-Commerce,Seed,Singapore,1446803,18,3,211.72,690243,4.622,36728,-16,12,4,3,103,10,0
Gaming,Pre-Seed,Germany,390716,72,12,94.21,595628,3.455,663,58,8,1,6,85,31,1
SaaS,Seed,Israel,2595598,48,9,11.31,89199,1.075,47301,30,26,2,9,39,11,1
HealthTech,Pre-Seed,France,316285,80,4,260.25,114222,2.429,19216,-13,15,6,1,119,17,0
EdTech,Pre-Seed,USA,204422,111,4,340.15,243931,-0.032,47259,35,3,4,5,86,8,0
SaaS,Series B,Singapore,32245514,14,3,43.33,176234,3.164,9265,52,1,3,2,54,2,0
SaaS,Seed,India,636149,140,5,230.73,491604,2.682,4574,-10,12,7,7,68,4,1
Cybersecurity,Series A,USA,3570303,125,3,371.94,43434,3.268,22755,1,12,7,4,65,16,0
FinTech,Seed,India,1488651,110,9,492.91,31536,4.637,31241,77,18,2,5,9,21,1
Cybersecurity,Series A,Canada,8170988,91,3,333.76,743251,3.374,22676,78,11,8,8,99,5,1
CleanTech,Pre-Seed,Israel,221929,87,2,122.8,733130,1.466,21561,56,3,1,2,55,35,0
BioTech,Pre-Seed,France,282268,93,12,358.42,114639,0.833,24737,-10,9,7,3,116,14,1
BioTech,Series A,Germany,6336640,25,5,299.17,453604,4.244,23390,39,15,1,5,108,15,1
FinTech,Series C,India,112908951,74,6,106.29,585063,0.811,26076,75,27,3,4,8,6,0
AI/ML,Pre-Seed,Singapore,372046,5,1,425.63,565435,0.64,5546,-6,23,3,5,9,16,0
AI/ML,Pre-Seed,Brazil,55577,114,14,213.99,322670,0.874,21280,17,18,2,3,46,23,0
HealthTech,Seed,Canada,1306434,47,12,481.01,164731,2.446,32953,-20,7,5,9,20,31,1
FinTech,Series C,Brazil,52660891,19,11,361.59,775167,0.446,21037,25,5,4,8,109,12,1
SaaS,Pre-Seed,Canada,230175,44,6,322.46,114663,4.678,40576,67,3,6,6,56,19,1
AI/ML,Seed,UK,921863,94,10,364.31,747456,4.825,28564,22,29,2,1,31,12,1
E-Commerce,Series B,Singapore,40724943,104,3,239.31,396377,4.864,33597,1,6,4,4,85,13,1
Gaming,Pre-Seed,Brazil,299402,125,4,252.86,33088,0.003,19903,-18,13,7,7,27,2,0
SaaS,Pre-Seed,France,281376,11,6,425.68,78464,4.72,30806,-7,26,1,5,65,20,1
CleanTech,Seed,Israel,2431506,74,8,340.62,300328,4.987,46328,-19,12,3,4,70,31,1
E-Commerce,Series B,USA,34119310,32,9,448.67,161171,4.701,24392,40,20,1,9,117,9,1
E-Commerce,Pre-Seed,Germany,145119,61,6,445.47,755866,3.289,28087,11,4,2,8,15,21,0
FinTech,Seed,Israel,1323265,132,7,488.26,756640,3.446,44288,17,8,9,3,34,8,1
HealthTech,Seed,Israel,1542137,119,14,350.26,47739,0.436,44308,76,28,5,6,29,29,1
CleanTech,Seed,Canada,2647907,15,5,251.4,149461,4.346,22293,25,2,4,4,53,19,1
AI/ML,Seed,France,1701988,144,14,83.57,27352,0.11,10677,21,9,4,7,36,35,1
FinTech,Seed,Canada,1351426,3,12,352.84,136788,1.452,12803,-15,14,8,1,30,26,0
AI/ML,Seed,Australia,2136748,25,9,146.14,424364,4.954,46656,20,19,3,1,75,11,0
FinTech,Seed,India,2090346,65,4,141.83,566116,1.996,46002,4,20,4,6,74,35,0
FinTech,Seed,Germany,1602801,101,10,119.52,602328,0.482,1225,77,16,2,7,87,4,1
FinTech,Seed,India,2787073,115,11,437.62,366423,4.84,5774,-10,22,6,9,112,3,1
HealthTech,Series B,USA,23994006,25,6,434.05,104430,4.918,13043,20,23,9,7,32,12,1
FinTech,Pre-Seed,Australia,163606,92,5,315.67,761891,0.773,16163,50,5,4,9,95,32,1
EdTech,Series A,Singapore,12976122,27,1,236.75,460330,4.297,2844,36,24,6,9,11,26,1
Gaming,Series A,USA,6322918,66,5,336.22,650245,1.83,7347,25,2,4,8,15,13,1
AI/ML,Pre-Seed,USA,78930,121,13,303.81,552036,1.783,20804,65,17,2,7,84,29,1
SaaS,Seed,UK,1241067,5,5,208.16,622924,1.166,36764,27,4,6,3,66,19,0
Cybersecurity,Seed,Germany,760102,2,14,190.13,699051,0.032,27246,42,12,7,3,40,35,1
CleanTech,Pre-Seed,Canada,412544,51,9,191.71,125158,1.194,42458,18,24,4,5,24,27,0
BioTech,Seed,France,1822521,111,1,294.77,229589,0.08,1688,-11,26,7,7,33,31,0
HealthTech,Pre-Seed,India,101360,140,5,324.01,206354,4.607,47055,64,0,8,7,101,3,1
SaaS,Pre-Seed,USA,400052,75,7,226.15,763604,3.241,17251,49,16,3,1,44,35,0
E-Commerce,Series A,India,11536239,63,11,484.36,725720,4.41,12504,44,25,2,8,64,24,1
EdTech,Pre-Seed,India,344478,82,6,42.38,282390,3.53,39720,77,2,5,1,108,7,0
BioTech,Series A,Singapore,13722305,57,6,173.85,251851,0.483,27584,38,25,2,4,66,35,0
Cybersecurity,Seed,Germany,2226334,112,12,209.83,69395,4.691,44484,57,18,5,2,76,21,1
SaaS,Series B,Germany,33624415,22,7,8.95,697846,4.479,48531,15,20,6,5,11,1,1
BioTech,Seed,Brazil,2877347,142,6,182.8,433556,1.61,38852,6,19,8,6,97,6,0
SaaS,Pre-Seed,Israel,111715,10,5,137.22,322444,0.38,13219,52,21,6,4,46,34,0
EdTech,Series A,Germany,4638004,140,10,253.27,406302,3.462,42972,34,11,4,4,65,18,1
Cybersecurity,Pre-Seed,India,206323,71,5,168.54,232143,3.587,24815,49,7,3,7,42,25,1
E-Commerce,Seed,Canada,767291,130,9,363.23,796401,4.464,48865,74,7,2,4,90,15,1
FinTech,Series B,India,37594892,119,14,255.21,551301,0.074,24623,60,14,1,2,43,32,1
AI/ML,Pre-Seed,Canada,364368,57,8,65.32,410623,0.537,36817,32,10,2,4,115,18,0
E-Commerce,Seed,Brazil,1830363,32,14,375.16,567830,2.911,3457,39,19,2,7,74,31,1
FinTech,Series A,Canada,6446839,38,12,50.06,34935,3.019,27855,40,0,5,1,52,29,1
HealthTech,Series B,Germany,44463663,92,10,419.61,510229,-0.025,36258,15,28,9,4,22,15,0
Gaming,Series A,Singapore,11167197,115,14,465.75,583367,1.864,15470,64,15,1,6,83,23,1
CleanTech,Pre-Seed,Canada,346952,129,4,161.56,44111,2.838,48957,6,29,4,8,94,11,1
CleanTech,Series A,India,4561014,123,4,463.11,216769,3.637,45930,20,13,7,8,72,15,1
AI/ML,Pre-Seed,France,248360,70,10,396.61,492333,1.444,18281,7,6,3,9,44,23,1
Cybersecurity,Series A,Germany,7589369,37,5,461.26,501029,2.316,11728,-5,5,8,5,35,3,0
EdTech,Series C,France,106953426,33,13,333.3,228008,4.033,45680,14,20,3,2,94,19,1
Cybersecurity,Series A,Australia,14208256,65,13,118.2,50565,4.76,38723,15,3,8,3,119,1,0
EdTech,Series B,Australia,18257983,49,3,447.31,29283,0.998,10162,35,21,2,2,65,24,0
Cybersecurity,Pre-Seed,India,136322,82,8,92.54,241362,1.116,29272,78,7,5,9,59,11,0
Gaming,Series A,Australia,9073877,61,7,106.92,621204,4.687,35488,-2,21,4,6,67,30,1
HealthTech,Series A,Israel,11033651,142,5,135.9,89552,1.859,43341,36,18,9,1,107,11,0
HealthTech,Pre-Seed,Brazil,277684,2,10,152.47,48233,3.535,11338,64,24,3,3,54,1,0
FinTech,Series B,Germany,31578740,66,3,257.48,531410,2.984,22296,12,2,5,7,101,12,1
BioTech,Pre-Seed,France,309427,34,5,356.87,294839,1.285,11675,2,3,9,7,90,4,0
HealthTech,Series A,India,14966115,39,3,463.14,660728,3.199,24070,42,12,6,5,8,25,1
HealthTech,Series A,Israel,6631171,26,10,44.67,183806,3.209,20080,49,20,2,3,9,8,1
E-Commerce,Series A,India,10973155,60,5,477.21,353401,2.881,47139,75,26,1,7,11,15,1
E-Commerce,Pre-Seed,Israel,192003,102,1,460.7,797937,0.318,13936,1,1,1,5,103,30,0
FinTech,Seed,Australia,1282516,128,6,27.47,315758,4.975,10019,46,10,7,6,63,32,1
BioTech,Seed,Australia,2857681,42,10,180.48,11010,1.882,41182,78,15,2,3,82,35,1
AI/ML,Series B,Canada,43021649,58,4,406.67,254300,3.119,1746,59,9,7,6,36,21,1
E-Commerce,Seed,UK,1214261,49,4,305.98,515002,4.406,49681,38,14,1,7,37,31,1
AI/ML,Seed,India,2073908,73,8,389.66,664848,2.001,22768,4,26,4,8,101,27,1
SaaS,Series A,Canada,3024363,57,2,359.66,160933,3.824,8325,-4,9,4,2,22,8,1
E-Commerce,Seed,Germany,894798,66,4,248.64,427341,4.853,44763,18,1,5,2,60,23,0
Gaming,Seed,Canada,2545990,13,2,21.09,789470,1.666,4486,56,5,1,6,89,23,0
BioTech,Seed,USA,1484348,70,1,292.34,674729,1.907,16485,71,13,7,8,62,33,0
FinTech,Series B,Australia,48313589,135,10,24.76,692031,4.509,14328,54,1,2,5,108,13,1
SaaS,Seed,USA,1885049,90,13,302.06,74512,0.63,19112,53,9,2,1,56,35,0
BioTech,Seed,India,2598772,26,13,400.31,108026,-0.051,44001,18,16,8,1,37,16,0
Gaming,Pre-Seed,France,374368,2,3,292.7,85656,4.526,32280,3,7,9,9,49,12,0
BioTech,Pre-Seed,France,499871,132,12,498.51,751119,4.072,26576,17,25,6,4,48,31,1
Gaming,Pre-Seed,Germany,145419,50,8,228.21,369830,4.857,42528,67,15,1,1,89,5,1
Gaming,Pre-Seed,Canada,218606,148,6,374.54,185210,0.103,15702,76,13,1,8,6,25,1
AI/ML,Seed,France,2045288,61,12,333.77,194492,0.612,21320,60,9,7,2,12,21,0
Cybersecurity,Series A,Israel,11182320,3,7,495.72,287633,0.348,18437,36,12,8,2,109,3,0
SaaS,Seed,Israel,2777476,74,2,356.75,69789,3.354,193,23,0,3,1,77,10,0
BioTech,Series A,Germany,4595123,146,6,82.43,604213,2.951,25317,15,9,9,1,42,23,0
EdTech,Series C,Brazil,79380783,111,14,477.78,321847,1.669,28482,78,29,4,9,57,17,1
SaaS,Series A,Australia,13387693,62,8,334.05,490702,0.099,19343,49,21,4,1,75,35,0
Cybersecurity,Series A,Canada,12337741,18,8,30.14,86625,3.126,29144,59,11,3,6,42,25,1
SaaS,Seed,India,2489690,50,4,328.96,785806,2.765,11612,24,29,8,7,78,2,0
HealthTech,Seed,Singapore,950400,77,6,441.62,723588,0.387,19307,71,16,9,4,83,27,0
EdTech,Pre-Seed,Singapore,71602,149,14,288.73,531564,4.526,19623,75,23,1,5,98,9,1
Cybersecurity,Seed,Singapore,1166470,132,5,177.33,537339,0.835,20249,5,13,2,4,25,4,0
AI/ML,Series B,France,44235129,44,9,410.54,179162,3.666,8229,-10,4,1,4,17,26,1
BioTech,Series A,Brazil,9130158,58,8,391.36,563093,4.402,26274,31,18,4,1,117,32,0
CleanTech,Pre-Seed,Brazil,392962,51,2,272.32,629266,2.813,37334,4,4,7,6,94,29,0
Cybersecurity,Seed,Canada,2329074,38,12,77.6,405771,1.084,6595,10,14,7,7,118,22,1
FinTech,Series A,Canada,9993018,47,13,125.87,584529,1.408,28602,64,12,6,7,104,13,1
BioTech,Pre-Seed,Brazil,221236,16,7,369.37,137838,4.406,38377,24,16,5,8,7,23,1
Cybersecurity,Seed,Germany,589743,81,7,403.14,600282,1.351,37876,46,0,4,7,42,31,0
HealthTech,Series B,Canada,39203403,140,11,139.99,386149,3.68,34551,55,27,8,6,20,31,1
CleanTech,Seed,Germany,2455206,149,14,184.31,670081,4.949,42926,19,13,7,8,119,15,1
HealthTech,Pre-Seed,USA,468061,25,14,39.28,252941,4.999,24678,25,3,1,3,23,14,1
CleanTech,Seed,Israel,1638422,126,12,356.87,577255,2.574,22214,33,24,6,9,81,35,1
FinTech,Series B,Australia,15758795,119,1,2.29,765584,4.098,38599,20,29,2,3,5,24,0
BioTech,Seed,Canada,1314468,81,1,23.75,350907,4.949,32809,68,8,4,4,48,30,0
AI/ML,Pre-Seed,Brazil,241824,95,12,2.67,606122,1.748,43954,60,16,5,6,92,30,0
HealthTech,Seed,Israel,739647,66,4,322.84,383167,1.113,27794,17,2,8,8,81,27,1
HealthTech,Seed,Israel,1879401,89,5,208.98,652059,0.394,22593,79,12,6,3,111,14,0
Gaming,Seed,UK,789962,89,4,149.12,85842,0.533,28864,15,11,2,6,55,11,0
CleanTech,Series A,Brazil,7514153,146,7,456.39,12589,4.238,44329,62,15,5,5,22,26,1
E-Commerce,Pre-Seed,Australia,70104,127,3,96.8,397167,2.861,42636,23,3,5,5,61,21,0
BioTech,Series B,Brazil,27186528,90,7,194.99,440294,4.343,3689,36,17,6,5,23,9,0
CleanTech,Pre-Seed,Canada,381747,62,13,470.19,241617,3.905,40363,45,22,1,9,92,1,1
Gaming,Seed,India,2300200,16,8,213.84,64918,3.303,14687,60,2,8,7,107,6,1
SaaS,Pre-Seed,USA,344461,95,6,277.57,17711,2.968,20381,9,16,3,9,89,1,1
CleanTech,Seed,Germany,924632,52,6,40.63,227972,0.051,33093,-11,0,5,9,115,22,0
AI/ML,Seed,India,2072732,28,8,395.19,331574,4.336,23589,78,18,7,6,53,13,1
BioTech,Seed,USA,2440593,75,8,211.67,728687,1.973,1120,40,21,3,6,27,31,1
Gaming,Pre-Seed,India,202472,62,7,400.36,240314,2.711,16491,42,3,6,4,70,15,0
SaaS,Seed,Germany,1858990,32,6,127.27,760506,-0.086,43638,15,16,5,8,118,2,0
EdTech,Pre-Seed,France,253141,13,6,211.53,538258,4.668,39062,33,6,7,2,12,31,0
Gaming,Series A,Brazil,5740855,47,10,393.38,268989,4.494,5193,76,1,3,5,88,26,1
EdTech,Series B,India,16380188,33,11,486.95,341679,2.625,23608,44,11,2,1,69,2,1
BioTech,Seed,Canada,1837218,62,13,30.28,131315,2.802,15213,61,4,4,2,85,11,0
HealthTech,Seed,Australia,2169745,47,13,406.32,384255,3.466,48379,-17,15,3,1,97,33,1
Gaming,Seed,Singapore,1962333,86,6,150.69,313874,1.176,14230,34,7,4,6,11,18,0
FinTech,Pre-Seed,Canada,95929,81,8,275.6,485384,0.954,18423,33,22,7,2,31,21,0
EdTech,Seed,Germany,623199,136,1,145.4,678745,3.305,17187,70,26,5,4,39,31,0
AI/ML,Series A,Australia,8531052,5,5,306.92,133252,0.343,10040,68,27,4,5,112,26,0
FinTech,Seed,Canada,2626697,53,3,177.22,147022,2.161,766,43,7,6,7,73,30,0
Cybersecurity,Pre-Seed,Israel,129569,113,12,167.14,766590,2.362,29949,71,12,7,1,119,21,0
Cybersecurity,Series A,Brazil,13517433,37,8,19.45,214583,1.783,46464,1,25,5,5,40,16,1
SaaS,Seed,Australia,924190,55,11,73.91,692121,0.763,3527,4,13,7,4,90,7,0
HealthTech,Series A,Israel,9743571,120,6,458.58,205507,1.648,11021,60,10,3,7,74,22,1
BioTech,Seed,Canada,1964889,128,14,499.14,73944,1.555,17872,38,5,7,7,100,7,1
Gaming,Seed,USA,1388943,18,2,390.37,475718,2.396,36897,36,15,3,8,61,2,0
E-Commerce,Pre-Seed,UK,405288,76,13,143.76,117437,3.308,11758,33,22,6,4,59,14,1
AI/ML,Pre-Seed,USA,376968,106,7,201.52,136794,4.835,18757,23,24,8,4,92,8,1
